#Stand	Length (m)	Cable type	Est. attenuation at 50 MHz (dBm)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)
170	166.20	CNT-240-DB	10.30	679.03	166.93	675.41	166.04	683.39	168.00	679.81	167.12
171	156.40	CNT-240-DB	9.70	638.76	157.03	635.40	156.20	642.34	157.91	639.05	157.10
172	147.20	CNT-240-DB	9.13	601.41	147.84	599.49	147.37	602.63	148.14	600.73	147.68
173	152.40	CNT-240-DB	9.45	624.53	153.53	621.18	152.71	654.60	160.92	651.10	160.06
174	145.40	CNT-240-DB	9.01	599.38	147.34	597.47	146.88	598.44	147.11	596.61	146.66
175	146.70	CNT-240-DB	9.10	597.30	146.83	594.14	146.06	605.44	148.84	602.33	148.07
176	137.00	CNT-240-DB	8.49	560.67	137.83	557.74	137.11	565.16	138.93	562.20	138.21
177	134.40	CNT-240-DB	8.33	549.31	135.04	546.36	134.31	554.18	136.24	551.21	135.20
178	126.80	CNT-240-DB	7.86	518.50	127.46	515.78	126.79	527.73	129.73	524.99	129.06
179	126.40	CNT-240-DB	7.84	520.51	127.96	517.85	127.30	514.51	126.48	511.83	125.82
180	122.30	CNT-240-DB	7.58	500.93	123.14	498.17	122.47	498.58	122.56	495.81	121.88
181	114.30	CNT-240-DB	7.09	468.37	115.14	465.89	114.53	471.45	115.90	468.99	115.29
182	100.50	CNT-240-DB	6.23	411.06	101.05	408.78	100.49	411.08	101.06	408.79	100.49
183	103.10	CNT-240-DB	6.39	421.47	103.61	419.29	103.07	423.80	104.19	421.62	103.65
184	99.20	CNT-240-DB	6.15	404.02	99.32	401.77	98.77	408.66	100.46	406.43	99.11
185	92.00	CNT-240-DB	5.70	376.91	92.66	375.72	92.36	378.84	93.13	377.65	92.84
186	95.30	CNT-240-DB	5.91	388.78	95.57	386.80	95.09	392.94	96.60	390.87	96.09
187	81.70	CNT-240-DB	5.07	333.73	82.04	331.89	81.59	336.11	82.63	334.27	82.17
188	69.40	CNT-240-DB	4.30	284.68	69.98	283.07	69.59	283.50	69.69	281.88	69.30
189	65.00	CNT-240-DB	4.03	264.95	65.13	263.43	64.76	265.17	65.19	263.62	64.81
190	61.40	CNT-240-DB	3.81	251.39	61.80	250.09	61.48	252.37	62.04	251.07	61.72
191	56.60	CNT-240-DB	3.51	231.30	56.86	230.07	56.56	233.68	57.45	232.45	57.14
192	50.40	CNT-240-DB	3.12	205.63	50.55	204.97	50.39	206.96	50.88	206.28	50.71
193	247.70	CNT-240-DB	15.36	1002.56	252.13	1020.30	250.81	1008.40	247.90	1003.10	246.59
194	238.60	CNT-240-DB	14.79	971.79	238.89	968.84	238.17	978.34	240.51	975.25	239.75
195	242.80	CNT-240-DB	15.05	990.76	243.56	985.54	242.27	999.95	245.82	994.74	244.54
196	217.90	CNT-240-DB	13.51	887.80	218.25	883.30	217.14	894.61	219.92	889.91	218.77
197	220.50	CNT-240-DB	13.67	902.01	221.74	897.19	220.56	903.25	222.05	898.41	220.86
198	216.70	CNT-240-DB	13.44	892.86	219.49	888.22	218.35	889.06	218.56	884.49	217.43
199	215.50	CNT-240-DB	13.36	882.86	217.03	878.15	215.87	883.28	217.14	878.54	215.97
200	207.30	CNT-240-DB	12.85	846.59	208.12	843.93	207.46	853.87	209.91	851.24	209.26
201	202.90	CNT-240-DB	12.58	828.20	203.60	825.68	202.98	834.63	205.18	832.05	204.54
202	194.70	CNT-240-DB	12.07	792.48	194.82	788.33	193.79	800.79	196.86	796.70	195.85
203	197.90	CNT-240-DB	12.27	807.73	198.56	803.59	197.55	827.95	203.54	823.67	202.48
204	183.70	CNT-240-DB	11.39	753.79	185.30	749.79	184.32	756.68	186.01	752.63	185.02
205	181.80	CNT-240-DB	11.27	740.43	182.02	736.46	181.04	752.71	185.04	748.63	184.04
206	171.70	CNT-240-DB	10.65	700.13	172.11	698.12	171.62	712.00	175.03	709.75	174.48
207	167.80	CNT-240-DB	10.40	683.08	167.92	679.51	167.04	688.28	169.20	684.45	168.26
208	164.40	CNT-240-DB	10.19	670.26	164.77	666.64	163.88	671.11	164.98	667.46	164.08
209	159.50	CNT-240-DB	9.89	650.13	159.82	646.61	158.96	660.41	162.35	656.83	161.47
210	152.40	CNT-240-DB	9.45	626.71	154.06	623.02	153.16	626.24	153.95	622.52	153.03
211	143.30	CNT-240-DB	8.88	583.86	143.53	580.88	142.80	583.89	143.54	580.84	142.79
212	136.00	CNT-240-DB	8.43	559.88	137.64	556.54	136.81	563.08	138.42	559.43	137.53
213	142.10	CNT-240-DB	8.81	581.93	143.06	578.91	142.31	582.95	143.31	579.92	142.56
214	133.60	CNT-240-DB	8.28	552.51	135.82	549.25	135.02	551.86	135.66	548.53	134.84
215	130.10	CNT-240-DB	8.07	530.84	130.50	527.93	129.78	530.65	130.45	527.74	129.73
216	118.20	CNT-240-DB	7.33	482.94	118.72	480.37	118.09	485.72	119.40	483.01	118.74
217	117.90	CNT-240-DB	7.31	480.58	118.14	479.09	117.77	483.50	118.86	481.98	118.49
218	113.50	CNT-240-DB	7.04	461.93	113.56	459.50	112.96	467.74	114.98	465.32	114.39
219	117.60	CNT-240-DB	7.29	479.62	117.90	477.14	117.30	483.59	118.88	481.07	118.26
220	102.10	CNT-240-DB	6.33	419.23	103.06	417.00	102.51	420.70	103.42	418.52	102.88
221	90.10	CNT-240-DB	5.59	367.07	90.24	365.95	89.96	369.99	90.95	368.84	90.67
222	83.00	CNT-240-DB	5.15	339.09	83.36	338.07	83.11	339.91	83.56	338.85	83.30
223	85.60	CNT-240-DB	5.31	350.18	86.09	349.05	85.81	351.44	86.40	350.34	86.13
224	69.60	CNT-240-DB	4.32	283.06	69.58	282.17	69.37	286.96	70.54	286.07	70.32
225	242.90	CNT-240-DB	15.06	986.91	242.61	981.79	241.35	998.75	245.52	993.51	244.23
226	229.00	CNT-240-DB	14.20	933.34	229.44	928.43	228.24	945.51	232.43	940.56	231.22
227	228.30	CNT-240-DB	14.15	934.89	229.82	929.88	228.59	937.57	230.48	932.54	229.25
228	214.30	CNT-240-DB	13.29	875.56	215.24	871.16	214.16	883.28	217.14	878.64	216.00
229	206.50	CNT-240-DB	12.80	840.86	206.71	836.44	205.62	848.25	208.53	843.81	207.43
230	209.80	CNT-240-DB	13.01	854.08	209.96	851.48	209.32	859.93	211.40	857.21	210.73
231	205.00	CNT-240-DB	12.71	838.55	206.14	834.07	205.04	840.35	206.58	835.83	205.47
232	194.40	CNT-240-DB	12.05	804.91	197.87	800.67	196.83	801.51	197.03	797.36	196.02
233	186.80	CNT-240-DB	11.58	760.50	186.95	756.64	186.01	767.41	188.65	763.45	187.68
234	180.10	CNT-240-DB	11.17	737.73	181.36	733.87	180.41	746.06	183.40	742.17	182.45
235	174.60	CNT-240-DB	10.83	711.79	174.98	708.21	174.10	728.11	178.99	724.30	178.05
236	170.80	CNT-240-DB	10.59	696.01	171.10	692.45	170.23	702.28	172.64	698.64	171.75
237	175.00	CNT-240-DB	10.85	712.96	175.27	709.17	174.34	714.16	175.56	710.75	174.60
238	166.70	CNT-240-DB	10.34	678.07	166.69	674.38	165.78	680.41	167.27	676.71	166.36
239	160.30	CNT-240-DB	9.94	652.98	160.52	649.69	159.71	654.35	160.86	650.90	160.01
240	163.70	CNT-240-DB	10.15	673.36	165.53	669.44	164.57	673.44	165.55	669.60	164.61
241	149.60	CNT-240-DB	9.28	610.31	150.03	607.16	149.26	613.58	150.84	610.42	150.06
242	152.10	CNT-240-DB	9.43	623.60	153.30	620.38	152.51	628.16	154.42	624.91	153.62
243	151.50	CNT-240-DB	9.39	622.87	153.12	619.49	152.29	621.70	152.83	618.43	152.03
244	139.80	CNT-240-DB	8.67	569.74	140.06	566.81	139.34	576.73	141.78	573.75	141.04
245	150.10	CNT-240-DB	9.31	618.76	152.11	615.45	151.29	611.96	150.44	608.74	149.65
246	143.30	CNT-240-DB	8.88	587.43	144.41	584.19	143.61	583.95	143.55	580.71	142.75
247	129.50	CNT-240-DB	8.03	530.07	130.31	527.21	129.60	531.48	130.65	528.56	129.94
248	125.80	CNT-240-DB	7.80	515.02	126.61	513.42	126.21	515.54	126.49	512.89	126.08
249	119.50	CNT-240-DB	7.41	486.25	119.53	483.62	118.89	491.49	120.82	488.84	120.17
250	113.50	CNT-240-DB	7.04	463.11	113.85	460.77	113.27	465.79	114.51	463.40	113.92
251	100.40	CNT-240-DB	6.22	411.84	101.24	409.61	100.69	412.15	101.32	409.98	100.79
252	427.20	KSR400-DB	12.39	1690.2 	433.5 	1685.9 	432.39	1686.8 	432.63	1682.5 	431.52
253	454.90	KSR400-DB	13.19	1799.0 	461.4	1794.0 	460.21	1803.2 	462.48 	1798.6 	461.29 
254	396.30	KSR400-DB	11.49	1563.2 	400.91	1559.2 	399.89	1554.9 	398.79 	1550.9 	397.76 
255	304.00	KSR400-DB	8.82	1207.1 	309.58	1204.0 	308.79	1190.2 	305.25 	1187.0 	304.42 
256	265.00	KSR400-DB	7.69	1035.7 	265.63	1032.9 	264.92	1031.8 	264.64 	1029.3 	263.98 
# Fiber connected antennas delays at 0.68c extrapolated from LWA-352 Optical Attenuator Estimates
262	156	fiber dontcare 764.7058824 dontcare dontcare dontcare 764.7058824
274	338	fiber dontcare 1656.862745 dontcare dontcare dontcare 1656.862745
263	414	fiber dontcare 2029.411765 dontcare dontcare dontcare 2029.411765
265	340	fiber dontcare 1666.666667 dontcare dontcare dontcare 1666.666667
284	790	fiber dontcare 3872.54902  dontcare dontcare dontcare 3872.54902
260	784	fiber dontcare 3843.137255 dontcare dontcare dontcare 3843.137255
280	1073	fiber dontcare 5259.803922 dontcare dontcare dontcare 5259.803922
270	1207	fiber dontcare 5916.666667 dontcare dontcare dontcare 5916.666667
